Agency,CallName,LAWAName
ac,NH3+NH4 as N (mg/l),NH4
ac,E. coli (CFU/100ml),ECOLI
ac,pH (pH units),PH
ac,Dis Rx P (mg/l),DRP
ac,Tot N (mg/l),TN
ac,NO3+NO2 (mg/l),TON
ac,Tot P (mg/l),TP
ac,Black Disk (m),BDISC
ac,Turb,TURB
ac,Field Turb,TURBFNU
,,
boprc,Ammoniacal N_LabResult,NH4
boprc,DRP_LabResult,DRP
boprc,E coli_LabResult,ECOLI
boprc,N _Tot__LabResult,TN
boprc,Nitrite Nitrate _as N__LabResult,TON
boprc,pH_LabResult,PH
boprc,P _Tot__LabResult,TP
boprc,Turbidity_ Nephelom_LabResult,TURB
boprc,Water Clarity_LabResult,BDISC
,,
ecan,Ammoniacal Nitrogen,NH4
ecan,Black Disc Clarity,BDISC
ecan,Dissolved Reactive Phosphorus,DRP
ecan,E. coli,ECOLI
ecan,Nitrate-N Nitrite-N,TON
ecan,pH,PH
ecan,Total Nitrogen,TN
ecan,Total Phosphorus,TP
ecan,Turbidity,TURB
,,
es,Clarity (Black Disc Field),BDISC
es,E-Coli <CFU>,ECOLI
es,Nitrogen (Nitrate Nitrite),TON
es,Nitrogen (Total Ammoniacal),NH4
es,Nitrogen (Total),TN
es,pH (Lab),PH
es,Phosphorus (Dissolved Reactive),DRP
es,Phosphorus (Total),TP
es,Turbidity (Lab),TURB
,,
gdc,Ammoniacal Nitrogen as N,NH4
gdc,Clarity Tube (cm)-Field,BDISC
gdc,Dissolved Reactive Phosphorus,DRP
gdc,E.Coli CFU/100mL,ECOLI
gdc,pH (Field),PH
gdc,Nitrogen Total,TN
gdc,Total Oxidised Nitrogen,TON
gdc,Total Phosphorus,TP
gdc,Turbidity (Lab - NTU),TURB
gdc,Turbidity (Lab - FNU),TURBFNU
,,
gwrc,Ammoniacal Nitrogen,NH4
gwrc,Black Disc,BDISC
gwrc,Dissolved Reactive Phosphorus,DRP
gwrc,E-Coli,ECOLI
gwrc,Nitrite-Nitrate Nitrogen,TON
gwrc,pH (Field)(X),PH
gwrc,Total Nitrogen,TN
gwrc,Total Phosphorus,TP
gwrc,Turbidity (Lab),TURB
,,
hbrc,Total Ammoniacal-N,NH4
hbrc,Black Disc,BDISC
hbrc,Dissolved Reactive Phosphorus,DRP
hbrc,E. Coli,ECOLI
hbrc,Nitrate + Nitrite Nitrogen,TON
hbrc,pH (Field),PH
hbrc,pH (Lab),PH
hbrc,Total Nitrogen,TN
hbrc,Total Phosphorus,TP
hbrc,Turbidity (Field),TURB
hbrc,Turbidity (Lab),TURB
hbrc,Turbidity FNU (Lab),TURBFNU
,,
hrc,Ammoniacal-N (HRC),NH4
hrc,Black Disc (HRC),BDISC
hrc,DRP (HRC),DRP
hrc,E. coli by MPN (HRC),ECOLI
hrc,Field pH (HRC),PH
hrc,TN (HRC),TN
hrc,TON (HRC),TON
hrc,Total Nitrogen (HRC),TN
hrc,TP (HRC),TP
hrc,Turbidity EPA (HRC),TURB
hrc,WQ Sample,WQ Sample
,,
mdc,Ammonia - Nitrogen,NH4
mdc,Black Disc,BDISC
mdc,Dissolved Reactive Phosphorus,DRP
mdc,E. coli,ECOLI
mdc,Nitrite/Nitrate - Nitrogen,TON
mdc,pH (Lab),PH
mdc,Total Nitrogen,TN
mdc,Total Phosphorus,TP
mdc,Turbidity (Lab),TURB
,,
ncc,Ammoniacal Nitrogen,NH4
ncc,Black Disc Clarity,BDISC
ncc,Dissolved Reactive Phosphorus,DRP
ncc,E. coli CFU,ECOLI
ncc,pH,PH
ncc,Total Nitrogen,TN
ncc,Total Phosphorus,TP
ncc,Turbidity,TURB
,,
niwa,NH4-N (Dis),NH4
niwa,DRP-P,DRP
niwa,E Coli,ECOLI
niwa,pH,PH
niwa,N (Tot),TN
niwa,NO3+NO2 as N,TON
niwa,P (Tot),TP
niwa,Turbidity (Nephelom),TURB
niwa,Visual Water Clarity,BDISC
,,
nrc,Total Oxidised Nitrogen,TON
nrc,Total Nitrogen,TN
nrc,Ammoniacal Nitrogen,NH4
nrc,DRP,DRP
nrc,TP,TP
nrc,Turbidity,TURB
nrc,pH,PH
nrc,BDISC,BDISC
nrc,Secchi Depth,SECCHI
nrc,Ecoli,ECOLI
nrc,pH (Lab),PH
nrc,pH [pH (Discrete)],PH
nrc,Turbidity [Turbidity (X)],TURB
,,
orc,Ammoniacal Nitrogen,NH4
orc,Black Disk Horizontal,BDISC
orc,Dissolved Reactive Phosphorus,DRP
orc,E-Coli MPN,ECOLI
orc,Nitrite/Nitrate Nitrogen,TON
orc,pH (Lab),PH
orc,Total Nitrogen,TN
orc,Total Phosphorus,TP
orc,Turbidity (X),TURB
,,
tdc,Dissolved Reactive Phosphorus,DRP
tdc,E.coli,ECOLI
tdc,E.coli (APHA 9223B),ECOLI
tdc,Nitrate-N + Nitrite-N (Lachat),TON
tdc,pH,PH
tdc,Total Ammonia,NH4
tdc,Total Nitrogen,TN
tdc,Total Phosphorus,TP
tdc,Turbidity,TURB
tdc,Water Clarity,BDISC
,,
trc,BDISC,BDISC
trc,DRP,DRP
trc,ECOL,ECOLI
trc,NH4,NH4
trc,NNN,TON
trc,TON,TON
trc,PH,PH
trc,TN,TN
trc,TP,TP
